I1.1,I1.2,I1.3,I1.4,PU2.1,PU2.2,PU2.3,PU2.4,PE3.1,PE3.2,PE3.3,PE3.4,UI1,UI2,UI3,UI4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,3,5,4,4,4,5,5,4,4,4,4
5,5,5,3,5,5,5,3,5,5,5,5,5,5,1,5
5,5,5,5,4,3,4,3,4,5,5,5,4,5,5,3
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,3,5,3,3,3,3,3,3,4,3,4,3
3,3,5,3,3,3,1,1,5,5,5,5,5,3,5,5
5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,5
3,3,5,3,4,4,3,3,4,4,4,5,4,4,4,4
3,3,3,3,4,4,3,3,3,4,4,4,3,2,2,3
4,4,5,4,3,4,4,4,3,3,3,3,4,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,4,4,4,4,5,5,5,4,4,4,4
4,4,5,5,5,4,5,5,5,3,3,3,2,5,1,4
5,5,5,5,5,4,5,5,4,3,4,4,4,4,5,5
4,4,4,4,4,4,5,5,4,5,4,5,5,5,5,5
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,4,4,3,4,4,3,4,5,3,1,3,3,2,4
4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,4
5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4
5,4,5,4,3,3,3,3,3,3,3,3,3,2,2,3
5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5
5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
2,2,2,2,3,4,2,2,5,4,5,4,3,3,3,3
4,5,5,4,3,3,3,3,4,5,5,5,5,4,5,3
4,5,4,4,4,4,5,4,4,2,4,2,4,3,2,3
5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5
4,5,5,5,5,4,3,4,5,4,4,4,4,5,4,4
4,5,5,5,5,5,5,4,5,4,5,5,4,4,5,4
4,5,5,5,4,5,5,4,3,3,4,4,4,3,3,4
4,5,5,5,5,4,4,4,4,5,4,4,5,5,4,4
5,5,5,3,4,5,4,4,4,5,4,4,5,4,5,4
5,4,4,3,4,4,5,5,5,3,3,3,5,4,5,5
4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,5
4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5
4,3,3,3,2,5,4,1,4,3,3,4,4,3,2,4
5,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4
5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4
5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4
5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4
5,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5
5,4,4,4,5,5,4,4,5,5,5,5,5,4,4,4
5,5,5,4,5,5,5,5,4,4,4,4,5,5,4,4
5,5,4,5,4,4,5,5,5,5,5,5,4,5,4,4
4,5,5,4,5,5,4,4,5,5,5,5,4,5,5,5
5,5,4,4,4,4,5,4,4,5,5,5,4,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,4,4,5,4,4,5,4,4,5,5,5,5,4
3,3,3,3,4,3,1,3,4,2,4,2,3,3,1,2
5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5
5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4
5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,5
5,5,5,4,3,5,4,4,4,4,4,4,4,3,4,4
4,4,4,4,4,3,4,2,5,2,2,2,4,3,3,4
5,5,5,4,3,4,3,3,5,3,4,5,4,3,4,5
4,4,4,3,4,3,4,3,4,3,5,3,4,4,4,3
